strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
donchian_55,INTC,D1,1.0,1.5,1.5,True,31,0.0,-19.9227,-19.9227,0.0,-122.75,0.016,31,122.99,0.12,,-2.61,-100.0,0.05,-100.0,13,18,0.0,-17.8814
donchian_55,INTC,H1,1.0,1.5,1.5,True,200,0.0,-68.4735,-68.4735,0.0,-798.83,0.119,200,798.83,0.8,,-2.568,-100.0,0.05,-100.0,111,89,0.0,-60.5351
donchian_55,INTC,M15,1.0,1.5,1.5,True,200,0.0,-115.2074,-115.2074,0.0,-801.4,0.444,200,801.4,0.8,,-1.552,-100.0,0.05,-100.0,111,89,0.0,-66.7105
donchian_55,JP225.cash,M15,1.0,1.5,1.5,True,200,0.0,-3.8074,-3.8074,0.0,-791.64,1.631,200,791.77,0.79,,-2.025,-100.0,0.05,-100.0,117,83,0.0,-3.3987
donchian_55,MSFT,D1,1.0,1.5,1.5,True,86,0.0,-8.2979,-8.2979,0.0,-341.16,0.027,86,341.27,0.34,,-1.224,-100.0,0.05,-100.0,51,35,0.0,-3.7795
donchian_55,MSFT,H1,1.0,1.5,1.5,True,230,0.0,-11.4855,-11.4855,0.0,-931.8,0.138,230,931.97,0.93,,-3.999,-100.0,0.05,-100.0,144,86,0.0,-10.2935
donchian_55,MSFT,M15,1.0,1.5,1.5,True,185,0.0,-19.6001,-19.6001,0.0,-745.24,0.412,185,745.38,0.75,,-3.44,-100.0,0.05,-100.0,116,69,0.0,-18.128
donchian_55,NVDA,D1,1.0,1.5,1.5,True,62,0.0,-22.0606,-22.0606,0.0,-247.06,0.031,62,247.09,0.25,,-1.18,-100.0,0.05,-100.0,38,24,0.0,-5.873
donchian_55,NVDA,H1,1.0,1.5,1.5,True,239,0.0,-47.2419,-47.2419,0.0,-959.64,0.143,239,959.66,0.96,,-1.291,-100.0,0.05,-100.0,149,90,0.0,-17.0629
donchian_55,NVDA,M15,1.0,1.5,1.5,True,173,0.0,-33.3184,-33.3184,0.0,-695.17,0.385,173,695.27,0.7,,-3.233,-100.0,0.05,-100.0,101,72,0.0,-30.872
donchian_55,US2000.cash,H1,1.0,1.5,1.5,True,183,0.0,-3.5776,-3.5776,0.0,-765.24,0.368,183,766.09,0.77,,-2.571,-100.0,0.05,-100.0,113,70,0.0,-3.2525
donchian_55,US2000.cash,M15,1.0,1.5,1.5,True,191,0.0,-6.4349,-6.4349,0.0,-773.49,1.558,191,773.49,0.77,,-1.834,-100.0,0.05,-100.0,113,78,0.0,-5.5395
donchian_55,US500.cash,M15,1.0,1.5,1.5,True,181,0.0,-3.8281,-3.8281,0.0,-738.38,1.476,181,738.38,0.74,,-1.87,-100.0,0.05,-100.0,96,85,0.0,-3.5279
rsi_30_70,AMD,H1,1.0,1.5,1.5,True,122,0.0,-16.0205,-16.0205,0.0,-487.8,0.075,122,487.93,0.49,,-2.5,-100.0,0.05,-100.0,81,41,0.0,-12.5011
rsi_30_70,AMD,M15,1.0,1.5,1.5,True,108,0.0,-21.7572,-21.7572,0.0,-440.03,0.269,108,440.06,0.44,,-1.944,-100.0,0.05,-100.0,65,43,0.0,-14.7238
rsi_30_70,AMZN,H1,1.0,1.5,1.5,True,105,0.0,-16.2196,-16.2196,0.0,-421.95,0.063,105,422.04,0.42,,-3.025,-100.0,0.05,-100.0,57,48,0.0,-13.5379
rsi_30_70,AMZN,M15,1.0,1.5,1.5,True,121,0.0,-26.7207,-26.7207,0.0,-486.73,0.269,121,486.88,0.49,,-3.193,-100.0,0.05,-100.0,70,51,0.0,-24.72
rsi_30_70,AVGO,H1,1.0,1.5,1.5,True,104,0.0,-30.7677,-30.7677,0.0,-408.45,0.062,104,408.45,0.41,,-1.215,-100.0,0.05,-100.0,61,43,0.0,-8.4272
rsi_30_70,AVGO,M15,1.0,1.5,1.5,True,109,0.0,-15.3169,-15.3169,0.0,-438.68,0.242,109,438.75,0.44,,-2.623,-100.0,0.05,-100.0,61,48,0.0,-12.0162
rsi_30_70,CSCO,H1,1.0,1.5,1.5,True,102,0.0,-78.506,-78.506,0.0,-407.45,0.061,102,407.45,0.41,,-2.943,-100.0,0.05,-100.0,65,37,0.0,-71.198
rsi_30_70,CSCO,M15,1.0,1.5,1.5,True,97,0.0,-119.3923,-119.3923,0.0,-387.93,0.215,97,387.94,0.39,,-2.727,-100.0,0.05,-100.0,62,35,0.0,-86.7586
rsi_30_70,HK50.cash,M15,1.0,1.5,1.5,True,120,0.0,-4.2737,-4.2737,0.0,-501.96,0.627,120,501.96,0.5,,-2.57,-100.0,0.05,-100.0,75,45,0.0,-3.6544
rsi_30_70,INTC,H1,1.0,1.5,1.5,True,124,0.0,-77.3914,-77.3914,0.0,-497.02,0.074,124,497.02,0.5,,-2.895,-100.0,0.05,-100.0,82,42,0.0,-79.9793
rsi_30_70,INTC,M15,1.0,1.5,1.5,True,120,0.0,-138.0617,-138.0617,0.0,-480.08,0.267,120,480.08,0.48,,-1.625,-100.0,0.05,-100.0,66,54,0.0,-80.0766
rsi_30_70,JP225.cash,M15,1.0,1.5,1.5,True,114,0.0,-3.3227,-3.3227,0.0,-477.5,0.93,114,477.73,0.48,,-2.023,-100.0,0.05,-100.0,68,46,0.0,-2.9822
rsi_30_70,MSFT,H1,1.0,1.5,1.5,True,122,0.0,-9.5087,-9.5087,0.0,-488.79,0.073,122,488.97,0.49,,-3.558,-100.0,0.05,-100.0,71,51,0.0,-8.2549
rsi_30_70,MSFT,M15,1.0,1.5,1.5,True,128,0.0,-18.2881,-18.2881,0.0,-518.4,0.285,128,518.4,0.52,,-3.167,-100.0,0.05,-100.0,66,62,0.0,-16.5326
rsi_30_70,NVDA,H1,1.0,1.5,1.5,True,103,0.0,-41.9546,-41.9546,0.0,-412.17,0.062,103,412.18,0.41,,-1.16,-100.0,0.05,-100.0,57,46,0.0,-12.9876
rsi_30_70,NVDA,M15,1.0,1.5,1.5,True,111,0.0,-26.1834,-26.1834,0.0,-445.6,0.247,111,445.62,0.45,,-3.754,-100.0,0.05,-100.0,57,54,0.0,-25.0543
rsi_30_70,US2000.cash,M15,1.0,1.5,1.5,True,126,0.0,-5.9517,-5.9517,0.0,-518.48,1.028,126,518.48,0.52,,-1.661,-100.0,0.05,-100.0,79,47,0.0,-5.1205
rsi_30_70,US500.cash,M15,1.0,1.5,1.5,True,114,0.0,-3.3217,-3.3217,0.0,-463.44,0.93,114,464.08,0.46,,-1.832,-100.0,0.05,-100.0,76,38,0.0,-2.874
ema_cross_12_26,GBPJPY,D1,1.1,1.5,1.6500000000000001,True,33,72.73,0.4336,0.4336,2.686,2353.24,0.012,2,470.77,0.47,185.0,0.455,47.93,0.05,-34.96,24,9,88.89,0.7784
ema_cross_12_26,USDJPY,D1,1.1,1.5,1.6500000000000001,True,33,66.67,0.2853,0.2853,2.054,1167.96,0.012,3,451.15,0.45,246.0,0.282,36.36,0.05,-72.11,21,12,83.33,0.6563
ema_cross_9_20,GBPJPY,D1,1.1,1.5,1.6500000000000001,True,43,65.12,0.2743,0.2743,1.801,1984.42,0.015,3,804.33,0.8,334.0,0.27,33.4,0.05,-115.1,30,13,92.31,0.8475
ema_cross_9_20,USDSEK,D1,1.1,1.5,1.6500000000000001,True,43,65.12,0.2737,0.2737,1.795,2016.4,0.015,4,665.98,0.66,328.0,0.27,33.4,0.05,-112.1,28,15,66.67,0.3091
ema_cross_9_20,US30.cash,D1,1.1,1.5,1.6500000000000001,True,34,64.71,0.2413,0.2413,1.706,760.79,0.013,4,456.98,0.46,763.0,0.237,32.62,0.05,-332.48,23,11,81.82,0.6045
donchian_55,US100.cash,D1,1.1,1.5,1.6500000000000001,True,50,64.0,0.1619,0.1619,1.453,377.58,0.026,2,202.61,0.2,55.0,0.16,31.27,0.05,22.11,29,21,61.9,0.1232
donchian_55,XAUUSD,D1,1.1,1.5,1.6500000000000001,True,72,63.89,0.2627,0.2627,1.445,6518.56,0.025,3,2862.26,2.75,229.0,0.259,31.06,0.05,-58.14,36,36,58.33,0.149
rsi_30_70,XPDUSD,H1,1.1,1.5,1.6500000000000001,True,54,62.96,0.2357,0.2357,1.443,2880.0,0.109,3,1791.98,1.76,68.2,0.23,29.29,0.05,17.42,23,31,61.29,0.2089
ema_cross_9_20,GER40.cash,D1,1.1,1.5,1.6500000000000001,True,39,61.54,0.1361,0.1361,1.524,407.91,0.013,3,194.7,0.19,226.0,0.13,26.57,0.05,-66.4,22,17,58.82,0.0862
ema_cross_12_26,GBPUSD,D1,1.1,1.5,1.6500000000000001,True,33,60.61,0.1587,0.1587,1.142,359.66,0.012,4,1774.3,1.76,,0.154,24.79,0.05,14.24,23,10,90.0,0.7228
ema_cross_9_20,EURUSD,D1,1.1,1.5,1.6500000000000001,True,38,60.53,0.1651,0.1651,1.176,348.03,0.013,5,1144.54,1.14,989.0,0.159,24.64,0.05,-449.31,24,14,92.86,0.8455
ema_cross_12_26,USDSEK,D1,1.1,1.5,1.6500000000000001,True,38,60.53,0.1773,0.1773,1.32,884.58,0.013,3,929.11,0.92,,0.171,24.64,0.05,15.19,25,13,53.85,0.0395
ema_cross_9_20,EURJPY,D1,1.1,1.5,1.6500000000000001,True,40,60.0,0.1562,0.1562,1.534,1018.91,0.014,3,571.92,0.57,561.0,0.149,23.64,0.05,-235.55,27,13,61.54,0.1996
rsi_30_70,EURUSD,M15,1.1,1.5,1.6500000000000001,True,104,59.62,-0.2176,-0.2176,0.701,-198.28,0.902,3,218.69,0.22,,-0.208,22.9,0.05,-30.0,62,42,59.52,-0.2264
donchian_20,US100.cash,D1,1.1,1.5,1.6500000000000001,True,64,59.38,0.0827,0.0827,1.21,278.14,0.033,3,315.85,0.31,,0.08,22.44,0.05,17.95,36,28,53.57,-0.0217
donchian_55,XAGUSD,D1,1.1,1.5,1.6500000000000001,True,62,58.06,0.1418,0.1418,1.529,9406.15,0.022,4,4667.79,4.57,48.0,0.136,19.94,0.05,15.7,29,33,60.61,0.1984
donchian_55,XAUUSD,H1,1.1,1.5,1.6500000000000001,True,230,57.83,0.1215,0.1215,1.245,5298.18,0.463,11,2240.48,2.12,20.9,0.117,19.49,0.05,27.55,150,80,56.25,0.0989
donchian_20,XAUUSD,D1,1.1,1.5,1.6500000000000001,True,96,57.29,0.1243,0.1243,1.137,3067.28,0.034,5,3157.21,3.06,287.0,0.119,18.47,0.05,-95.41,53,43,53.49,0.0474
donchian_20,XAUUSD,H1,1.1,1.5,1.6500000000000001,True,329,56.84,0.1032,0.1032,1.223,7427.59,0.662,7,3040.67,2.85,9.8,0.099,17.6,0.05,31.93,208,121,52.89,0.0333
rsi_30_70,GBPJPY,H1,1.1,1.5,1.6500000000000001,True,74,56.76,-0.0023,-0.0023,1.051,66.92,0.158,4,340.56,0.34,121.4,-0.002,17.44,0.05,-30.0,43,31,54.84,-0.0511
ema_cross_12_26,EURJPY,D1,1.1,1.5,1.6500000000000001,True,30,56.67,0.0873,0.0873,1.114,204.99,0.011,5,943.62,0.93,,0.082,17.27,0.05,9.46,21,9,44.44,-0.161
ema_pullback_20_50,GBPJPY,D1,1.1,1.5,1.6500000000000001,True,175,56.57,0.0162,0.0162,1.272,2233.52,0.062,6,1059.38,1.04,342.0,0.015,17.09,0.05,-118.39,105,70,65.71,0.2387
rsi_30_70,GER40.cash,H1,1.1,1.5,1.6500000000000001,True,108,56.48,-0.1979,-0.1979,0.712,-270.53,0.211,7,406.33,0.41,,-0.19,16.92,0.05,-30.0,61,47,48.94,-0.3132
ema_cross_9_20,GBPUSD,D1,1.1,1.5,1.6500000000000001,True,39,56.41,0.0912,0.0912,1.177,525.3,0.014,5,1634.95,1.63,,0.087,16.78,0.05,10.48,26,13,76.92,0.5175
rsi_30_70,AUDUSD,H1,1.1,1.5,1.6500000000000001,True,82,56.1,-0.111,-0.111,0.944,-48.11,0.175,4,285.13,0.28,,-0.105,16.19,0.05,-30.0,51,31,51.61,-0.185
ema_cross_12_26,USDCAD,D1,1.1,1.5,1.6500000000000001,True,34,55.88,0.0584,0.0584,1.012,18.76,0.012,3,382.37,0.38,,0.055,15.78,0.05,-30.0,19,15,46.67,-0.1404
ema_cross_9_20,USDJPY,D1,1.1,1.5,1.6500000000000001,True,47,55.32,0.0446,0.0446,1.409,778.22,0.017,4,785.22,0.78,844.0,0.042,14.7,0.05,-381.92,32,15,73.33,0.4445
donchian_55,UK100.cash,D1,1.1,1.5,1.6500000000000001,True,38,55.26,-0.1307,-0.1307,0.825,-67.72,0.012,4,169.93,0.17,,-0.123,14.59,0.05,-30.0,15,23,65.22,0.082
donchian_20,US500.cash,D1,1.1,1.5,1.6500000000000001,True,67,55.22,-0.3839,-0.3839,0.566,-172.33,0.035,5,193.56,0.19,,-0.356,14.52,0.05,-30.0,40,27,51.85,-0.3994
ema_cross_12_26,US30.cash,H1,1.1,1.5,1.6500000000000001,True,127,55.12,-0.171,-0.171,0.752,-342.12,0.255,9,492.67,0.49,,-0.161,14.32,0.05,-30.0,82,45,64.44,0.0678
donchian_55,XPDUSD,D1,1.1,1.5,1.6500000000000001,True,49,55.1,0.0826,0.0826,0.925,-1864.56,0.017,6,9506.83,9.0,,0.078,14.29,0.05,-30.0,35,14,57.14,0.1242
donchian_55,XPTUSD,D1,1.1,1.5,1.6500000000000001,True,49,55.1,0.0788,0.0788,1.168,2025.21,0.017,3,2208.33,2.17,3.0,0.075,14.29,0.05,10.0,27,22,63.64,0.2587
donchian_20,XPDUSD,D1,1.1,1.5,1.6500000000000001,True,80,55.0,0.0805,0.0805,0.887,-4467.84,0.028,5,14073.47,13.32,,0.077,14.09,0.05,-30.0,54,26,61.54,0.216
ema_cross_12_26,XAUUSD,D1,1.1,1.5,1.6500000000000001,True,31,54.84,0.0707,0.0707,1.564,2473.93,0.011,2,1016.06,1.02,9.0,0.066,13.78,0.05,7.67,20,11,63.64,0.2586
donchian_20,XAGUSD,D1,1.1,1.5,1.6500000000000001,True,93,54.84,0.0742,0.0742,1.007,243.84,0.033,4,9590.97,8.73,,0.071,13.78,0.05,-30.0,47,46,54.35,0.0673
rsi_30_70,GBPUSD,H1,1.1,1.5,1.6500000000000001,True,95,54.74,-0.0707,-0.0707,0.878,-180.48,0.202,4,448.59,0.45,,-0.067,13.59,0.05,-30.0,60,35,54.29,-0.0853
donchian_20,US30.cash,D1,1.1,1.5,1.6500000000000001,True,79,54.43,0.0224,0.0224,1.121,320.93,0.03,3,415.5,0.41,,0.021,13.0,0.05,11.56,41,38,52.63,-0.0027
donchian_20,GBPJPY,D1,1.1,1.5,1.6500000000000001,True,85,54.12,0.0406,0.0406,1.1,603.3,0.03,4,1062.06,1.05,,0.039,12.41,0.05,11.44,48,37,51.35,-0.0144
rsi_30_70,AUDUSD,M15,1.1,1.5,1.6500000000000001,True,85,54.12,-0.3055,-0.3055,0.598,-264.19,0.737,7,278.65,0.28,,-0.286,12.41,0.05,-30.0,49,36,61.11,-0.15
donchian_55,GER40.cash,H1,1.1,1.5,1.6500000000000001,True,209,54.07,-0.3435,-0.3435,0.514,-749.22,0.408,5,772.18,0.77,,-0.326,12.31,0.05,-30.0,127,82,53.66,-0.3224
ema_pullback_20_50,XPDUSD,D1,1.1,1.5,1.6500000000000001,True,178,53.93,-0.0074,-0.0074,0.774,-14532.56,0.063,5,17140.13,16.7,,-0.007,12.05,0.05,-30.0,100,78,50.0,-0.0947
donchian_20,GER40.cash,H1,1.1,1.5,1.6500000000000001,True,316,53.48,-0.3516,-0.3516,0.533,-1136.09,0.617,7,1164.77,1.16,,-0.332,11.19,0.05,-30.0,196,120,55.0,-0.2884
donchian_20,UK100.cash,D1,1.1,1.5,1.6500000000000001,True,60,53.33,-0.1516,-0.1516,0.776,-145.87,0.02,5,282.75,0.28,,-0.144,10.91,0.05,-30.0,28,32,53.12,-0.1478
ema_cross_9_20,XAGUSD,D1,1.1,1.5,1.6500000000000001,True,47,53.19,0.0399,0.0399,0.595,-8113.29,0.017,4,11856.84,11.43,,0.038,10.64,0.05,-30.0,25,22,50.0,-0.0234
rsi_30_70,EURJPY,H1,1.1,1.5,1.6500000000000001,True,85,52.94,-0.1285,-0.1285,0.807,-239.84,0.181,7,431.02,0.43,,-0.122,10.16,0.05,-30.0,54,31,61.29,0.0275
donchian_20,US30.cash,H1,1.1,1.5,1.6500000000000001,True,301,52.82,-0.2358,-0.2358,0.701,-928.47,0.605,10,1056.7,1.06,,-0.224,9.94,0.05,-30.0,181,120,52.5,-0.2254
donchian_55,EURUSD,D1,1.1,1.5,1.6500000000000001,True,36,52.78,0.007,0.007,1.166,359.06,0.013,4,442.36,0.44,,0.007,9.85,0.05,5.91,19,17,52.94,0.0093
donchian_20,GER40.cash,D1,1.1,1.5,1.6500000000000001,True,63,52.38,-0.0758,-0.0758,0.866,-213.3,0.021,4,479.69,0.48,,-0.072,9.09,0.05,-30.0,30,33,51.52,-0.1026
rsi_30_70,NZDUSD,M15,1.1,1.5,1.6500000000000001,True,105,52.38,-0.4293,-0.4293,0.469,-353.36,0.91,9,358.8,0.36,,-0.399,9.09,0.05,-30.0,61,44,56.82,-0.318
ema_pullback_20_50,US100.cash,D1,1.1,1.5,1.6500000000000001,True,119,52.1,-0.1614,-0.1614,0.848,-344.14,0.062,6,460.46,0.46,,-0.151,8.56,0.05,-30.0,69,50,54.0,-0.095
rsi_30_70,XPTUSD,H1,1.1,1.5,1.6500000000000001,True,73,52.05,0.0044,0.0044,0.995,-62.57,0.147,6,5219.62,5.06,,0.004,8.47,0.05,-30.0,30,43,53.49,0.047
donchian_20,EURJPY,D1,1.1,1.5,1.6500000000000001,True,81,51.85,-0.0177,-0.0177,1.02,88.98,0.029,5,671.79,0.67,835.0,-0.017,8.08,0.05,-30.0,45,36,52.78,0.0082
donchian_55,GBPJPY,D1,1.1,1.5,1.6500000000000001,True,58,51.72,-0.0106,-0.0106,0.871,-579.33,0.021,6,1354.15,1.34,,-0.01,7.84,0.05,-30.0,29,29,48.28,-0.0809
donchian_55,US30.cash,D1,1.1,1.5,1.6500000000000001,True,58,51.72,-0.0348,-0.0348,0.868,-269.67,0.022,4,762.04,0.76,,-0.033,7.84,0.05,-30.0,27,31,45.16,-0.1577
rsi_30_70,GBPJPY,M15,1.1,1.5,1.6500000000000001,True,91,51.65,-0.2483,-0.2483,0.753,-230.13,0.789,8,317.91,0.32,,-0.231,7.69,0.05,-30.0,57,34,47.06,-0.3823
ema_cross_12_26,XAGUSD,H1,1.1,1.5,1.6500000000000001,True,122,51.64,-0.0075,-0.0075,0.859,-3460.34,0.245,4,7418.48,7.18,,-0.007,7.68,0.05,-30.0,76,46,52.17,0.0224
ema_cross_12_26,USDSEK,M15,1.1,1.5,1.6500000000000001,True,136,51.47,-0.2863,-0.2863,0.673,-407.44,1.179,5,407.44,0.41,,-0.267,7.35,0.05,-30.0,84,52,53.85,-0.2027
ema_cross_9_20,US30.cash,H1,1.1,1.5,1.6500000000000001,True,175,51.43,-0.2618,-0.2618,0.667,-639.68,0.352,9,737.04,0.74,,-0.245,7.27,0.05,-30.0,113,62,56.45,-0.1173
donchian_20,XAGUSD,M15,1.1,1.5,1.6500000000000001,True,288,51.39,0.001,0.001,0.986,-891.71,2.338,6,9339.66,8.72,,0.001,7.2,0.05,-30.0,185,103,49.51,-0.0422
rsi_30_70,XAUUSD,H1,1.1,1.5,1.6500000000000001,True,82,51.22,-0.0077,-0.0077,1.024,376.25,0.165,4,5159.14,5.12,,-0.007,6.87,0.05,-30.0,46,36,50.0,-0.0239
ema_pullback_20_50,XAUUSD,D1,1.1,1.5,1.6500000000000001,True,178,51.12,-0.0695,-0.0695,0.978,-743.62,0.063,9,4521.67,4.42,1541.0,-0.065,6.69,0.05,-30.0,95,83,49.4,-0.1109
ema_cross_9_20,XPTUSD,D1,1.1,1.5,1.6500000000000001,True,45,51.11,-0.0046,-0.0046,0.683,-4146.46,0.016,2,4333.06,4.32,,-0.004,6.67,0.05,-30.0,27,18,61.11,0.2061
ema_pullback_20_50,EURJPY,D1,1.1,1.5,1.6500000000000001,True,180,51.11,-0.1137,-0.1137,0.842,-1287.86,0.064,7,2020.23,2.02,,-0.109,6.67,0.05,-30.0,111,69,55.07,-0.0124
ema_cross_12_26,USDCAD,M15,1.1,1.5,1.6500000000000001,True,143,51.05,-0.6011,-0.6011,0.329,-543.69,1.24,6,562.33,0.56,,-0.555,6.55,0.05,-30.0,88,55,52.73,-0.6059
donchian_55,EURJPY,D1,1.1,1.5,1.6500000000000001,True,57,50.88,-0.0395,-0.0395,0.896,-345.31,0.02,4,675.88,0.67,,-0.037,6.22,0.05,-30.0,27,30,50.0,-0.0522
donchian_55,XAUUSD,M15,1.1,1.5,1.6500000000000001,True,175,50.86,-0.023,-0.023,0.896,-1947.81,1.421,7,4600.8,4.52,,-0.022,6.18,0.05,-30.0,125,50,52.0,0.0032
donchian_55,EURUSD,H1,1.1,1.5,1.6500000000000001,True,179,50.84,-0.1805,-0.1805,0.731,-722.23,0.381,6,882.67,0.88,,-0.172,6.15,0.05,-30.0,113,66,46.97,-0.2964
ema_cross_12_26,XAUUSD,H1,1.1,1.5,1.6500000000000001,True,120,50.83,-0.0189,-0.0189,0.992,-111.9,0.241,5,2331.9,2.28,,-0.018,6.14,0.05,-30.0,71,49,44.9,-0.127
ema_pullback_20_50,XAGUSD,D1,1.1,1.5,1.6500000000000001,True,185,50.81,-0.0817,-0.0817,0.741,-13712.7,0.065,6,16945.44,16.41,,-0.076,6.09,0.05,-30.0,100,85,49.41,-0.0954
ema_cross_12_26,US100.cash,H1,1.1,1.5,1.6500000000000001,True,128,50.78,-0.368,-0.368,0.531,-531.01,0.257,6,553.05,0.55,,-0.345,6.04,0.05,-30.0,78,50,46.0,-0.4067
donchian_20,AUDUSD,D1,1.1,1.5,1.6500000000000001,True,69,50.72,-0.0508,-0.0508,1.044,152.39,0.025,6,921.7,0.91,,-0.048,5.93,0.05,-30.0,40,29,41.38,-0.2594
donchian_20,EURUSD,D1,1.1,1.5,1.6500000000000001,True,71,50.7,-0.0389,-0.0389,0.96,-177.49,0.025,6,1955.16,1.96,,-0.037,5.89,0.05,-30.0,43,28,64.29,0.2461
ema_pullback_20_50,US30.cash,D1,1.1,1.5,1.6500000000000001,True,178,50.56,-0.1685,-0.1685,0.876,-577.82,0.067,5,1229.0,1.23,,-0.158,5.62,0.05,-30.0,102,76,59.21,0.0225
rsi_30_70,EURUSD,H1,1.1,1.5,1.6500000000000001,True,93,50.54,-0.1917,-0.1917,0.722,-364.52,0.198,5,545.89,0.55,,-0.181,5.57,0.05,-30.0,54,39,38.46,-0.4592
rsi_30_70,US100.cash,H1,1.1,1.5,1.6500000000000001,True,111,50.45,-0.321,-0.321,0.622,-389.15,0.223,4,431.76,0.43,,-0.297,5.41,0.05,-30.0,65,46,56.52,-0.1686
ema_cross_12_26,USDJPY,M15,1.1,1.5,1.6500000000000001,True,133,50.38,-0.4576,-0.4576,0.424,-545.81,1.153,7,588.09,0.59,,-0.43,5.26,0.05,-30.0,80,53,56.6,-0.4007
ema_cross_9_20,USDJPY,H1,1.1,1.5,1.6500000000000001,True,153,50.33,-0.1906,-0.1906,0.601,-970.24,0.326,6,1008.42,1.01,,-0.182,5.17,0.05,-30.0,94,59,50.85,-0.204
donchian_55,US30.cash,H1,1.1,1.5,1.6500000000000001,True,163,50.31,-0.2925,-0.2925,0.574,-751.54,0.327,6,820.59,0.82,,-0.278,5.13,0.05,-30.0,99,64,54.69,-0.1878
donchian_55,XAGUSD,M15,1.1,1.5,1.6500000000000001,True,187,50.27,-0.0235,-0.0235,0.991,-339.96,1.518,8,5851.22,5.6,,-0.022,5.06,0.05,-30.0,129,58,48.28,-0.0685
ema_cross_9_20,AUDUSD,D1,1.1,1.5,1.6500000000000001,True,48,50.0,-0.0597,-0.0597,1.01,24.05,0.017,5,754.07,0.75,,-0.056,4.55,0.05,-30.0,25,23,43.48,-0.1977
ema_cross_12_26,EURUSD,D1,1.1,1.5,1.6500000000000001,True,32,50.0,-0.0267,-0.0267,0.948,-95.26,0.011,5,1110.49,1.11,,-0.025,4.55,0.05,-30.0,21,11,72.73,0.5057
ema_cross_12_26,USDCHF,M15,1.1,1.5,1.6500000000000001,True,138,50.0,-0.4412,-0.4412,0.424,-611.19,1.197,7,636.58,0.64,,-0.421,4.55,0.05,-30.0,79,59,45.76,-0.5489
ema_pullback_20_50,AUDUSD,D1,1.1,1.5,1.6500000000000001,True,170,50.0,-0.1347,-0.1347,0.853,-961.34,0.06,6,1553.87,1.55,,-0.128,4.55,0.05,-30.0,95,75,56.0,-0.0045
donchian_20,EU50.cash,D1,1.1,1.5,1.6500000000000001,True,52,50.0,-0.3777,-0.3777,0.43,-239.52,0.027,6,274.94,0.27,,-0.363,4.55,0.05,-30.0,32,20,30.0,-0.7335
donchian_55,EU50.cash,D1,1.1,1.5,1.6500000000000001,True,36,50.0,-0.4277,-0.4277,0.453,-144.75,0.019,3,170.44,0.17,,-0.397,4.55,0.05,-30.0,22,14,35.71,-0.6796
donchian_55,AUDUSD,H1,1.1,1.5,1.6500000000000001,True,197,49.75,-0.2778,-0.2778,0.65,-758.77,0.42,6,785.97,0.79,,-0.262,4.06,0.05,-30.0,104,93,53.76,-0.2071
ema_cross_9_20,USDCAD,M15,1.1,1.5,1.6500000000000001,True,185,49.73,-0.6223,-0.6223,0.312,-705.81,1.604,7,726.02,0.73,,-0.573,4.03,0.05,-30.0,111,74,48.65,-0.7036
ema_cross_9_20,GBPJPY,H1,1.1,1.5,1.6500000000000001,True,175,49.71,-0.1679,-0.1679,0.726,-879.65,0.373,6,1126.56,1.12,,-0.16,4.0,0.05,-30.0,113,62,54.84,-0.068
ema_cross_9_20,US100.cash,H1,1.1,1.5,1.6500000000000001,True,171,49.71,-0.3999,-0.3999,0.485,-794.17,0.344,6,822.55,0.82,,-0.378,3.99,0.05,-30.0,105,66,43.94,-0.4645
donchian_20,EURJPY,H1,1.1,1.5,1.6500000000000001,True,321,49.53,-0.2215,-0.2215,0.655,-1578.63,0.684,7,1631.75,1.63,,-0.211,3.65,0.05,-30.0,189,132,53.79,-0.155
ema_cross_9_20,XPTUSD,M15,1.1,1.5,1.6500000000000001,True,176,49.43,-0.0511,-0.0511,0.981,-363.38,1.429,7,4151.23,4.01,,-0.049,3.46,0.05,-30.0,104,72,44.44,-0.1612
ema_cross_9_20,XAGUSD,M15,1.1,1.5,1.6500000000000001,True,158,49.37,-0.0403,-0.0403,0.998,-78.96,1.283,7,10188.02,9.4,,-0.038,3.34,0.05,-30.0,91,67,47.76,-0.0774
donchian_55,GBPJPY,M15,1.1,1.5,1.6500000000000001,True,201,49.25,-0.3673,-0.3673,0.487,-940.01,1.742,7,956.45,0.96,,-0.349,3.12,0.05,-30.0,116,85,41.18,-0.585
ema_pullback_20_50,XAGUSD,H1,1.1,1.5,1.6500000000000001,True,630,49.21,-0.1237,-0.1237,0.948,-4353.28,1.268,8,12756.88,11.89,,-0.117,3.03,0.05,-30.0,389,241,52.28,-0.0293
donchian_55,GBPUSD,H1,1.1,1.5,1.6500000000000001,True,187,49.2,-0.1882,-0.1882,0.733,-838.53,0.398,7,954.25,0.95,,-0.178,3.01,0.05,-30.0,122,65,47.69,-0.2239
rsi_30_70,GBPUSD,M15,1.1,1.5,1.6500000000000001,True,110,49.09,-0.3455,-0.3455,0.545,-487.9,0.954,6,511.83,0.51,,-0.326,2.81,0.05,-30.0,68,42,57.14,-0.1942
