strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
ema_cross_9_20,XAGUSD,D1,1.0,1.5,1.5,True,47,57.45,0.0719,0.0719,0.621,-7159.52,0.017,4,11856.84,11.32,,0.072,14.89,0.05,-30.0,25,22,59.09,0.1086
ema_cross_12_26,USDCAD,D1,1.0,1.5,1.5,True,35,57.14,0.0276,0.0276,0.956,-66.68,0.012,3,381.69,0.38,384.0,0.028,14.29,0.05,-30.0,19,16,50.0,-0.1205
donchian_20,US500.cash,D1,1.0,1.5,1.5,True,70,57.14,-0.4037,-0.4037,0.533,-181.15,0.036,3,199.68,0.2,,-0.39,14.29,0.05,-30.0,42,28,53.57,-0.4098
ema_cross_12_26,US30.cash,H1,1.0,1.5,1.5,True,127,56.69,-0.1947,-0.1947,0.717,-373.59,0.255,5,525.02,0.52,,-0.192,13.39,0.05,-30.0,82,45,66.67,0.0477
donchian_55,US30.cash,D1,1.0,1.5,1.5,True,60,56.67,0.0106,0.0106,1.026,46.19,0.023,4,542.34,0.54,,0.011,13.33,0.05,-30.0,29,31,48.39,-0.1381
donchian_20,XAGUSD,D1,1.0,1.5,1.5,True,99,56.57,0.054,0.054,0.99,-351.89,0.035,4,9590.97,8.78,,0.054,13.13,0.05,-30.0,49,50,56.0,0.0462
donchian_55,GER40.cash,H1,1.0,1.5,1.5,True,216,56.48,-0.3519,-0.3519,0.472,-798.94,0.421,5,815.2,0.82,,-0.352,12.96,0.05,-30.0,133,83,57.83,-0.2933
rsi_30_70,GER40.cash,H1,1.0,1.5,1.5,True,108,56.48,-0.2546,-0.2546,0.618,-359.09,0.211,7,450.99,0.45,,-0.257,12.96,0.05,-30.0,61,47,48.94,-0.3623
ema_cross_12_26,AUDUSD,D1,1.0,1.5,1.5,True,39,56.41,0.0181,0.0181,1.183,313.2,0.014,3,412.62,0.41,,0.018,12.82,0.05,8.01,23,16,50.0,-0.1101
donchian_20,GER40.cash,H1,1.0,1.5,1.5,True,327,56.27,-0.3497,-0.3497,0.501,-1189.79,0.638,5,1248.53,1.25,,-0.347,12.54,0.05,-30.0,205,122,60.66,-0.2275
ema_cross_9_20,GBPUSD,D1,1.0,1.5,1.5,True,41,56.1,0.0284,0.0284,1.061,189.71,0.015,5,1709.3,1.7,,0.028,12.2,0.05,-30.0,28,13,76.92,0.4407
ema_pullback_20_50,XPDUSD,D1,1.0,1.5,1.5,True,190,55.79,-0.0259,-0.0259,0.786,-13748.94,0.067,5,16767.63,16.28,,-0.026,11.58,0.05,-30.0,109,81,49.38,-0.1553
ema_cross_9_20,USDJPY,D1,1.0,1.5,1.5,True,47,55.32,-0.0108,-0.0108,1.267,508.99,0.017,4,824.21,0.82,908.0,-0.011,10.64,0.05,-416.71,32,15,73.33,0.3711
donchian_20,XPDUSD,D1,1.0,1.5,1.5,True,85,55.29,0.0317,0.0317,0.85,-6055.17,0.03,5,14035.77,13.3,,0.032,10.59,0.05,-30.0,58,27,59.26,0.109
donchian_55,XPTUSD,D1,1.0,1.5,1.5,True,49,55.1,0.0238,0.0238,1.054,647.74,0.017,3,2297.35,2.28,,0.024,10.2,0.05,-30.0,27,22,63.64,0.1951
donchian_55,EURUSD,H1,1.0,1.5,1.5,True,187,55.08,-0.1473,-0.1473,0.759,-617.62,0.398,4,778.46,0.78,,-0.148,10.16,0.05,-30.0,116,71,52.11,-0.2396
ema_cross_12_26,XAUUSD,D1,1.0,1.5,1.5,True,31,54.84,0.0158,0.0158,1.412,1804.27,0.011,2,1068.43,1.07,9.0,0.016,9.68,0.05,5.39,20,11,63.64,0.195
ema_pullback_20_50,US100.cash,D1,1.0,1.5,1.5,True,119,54.62,-0.1494,-0.1494,0.867,-288.08,0.062,6,534.87,0.53,,-0.147,9.24,0.05,-30.0,68,51,58.82,-0.0381
